,Short_Name_Cryptos,Ticker_cryptos_Yf,Ticker_Cryptos,Prix_actuel,Capitalisation_Boursiere,Offre_En_Circulation,ATH,MAJ
28,Coinbase Wrapped BTC,CBBTC-USD,cbbtc,107867.0,7735970744,71652.32772575,125954.0,2025-11-03
29,Avalanche,AVAX-USD,avax,17.56,7501287566,426759123.2218855,144.96,2025-11-03
30,Litecoin,LTC-USD,ltc,91.8,7026802910,76476483.23347135,410.26,2025-11-03
31,Zcash,ZEC-USD,zec,396.2,6485789057,16364098.6030448,3191.93,2025-11-03
32,Monero,XMR-USD,xmr,351.08,6474484150,18446744.07370955,542.33,2025-11-03
33,Shiba Inu,SHIB-USD,shib,9.64e-06,5682421837,589245434191652.4,8.616e-05,2025-11-03
34,Toncoin,TON-USD,ton,2.18,5411715943,2486242698.611071,8.25,2025-11-03
35,USDT0,USDT0-USD,usdt0,0.999652,5320681442,5322537563.568366,1.052,2025-11-03
36,Ethena Staked USDe,SUSDE-USD,susde,1.2,4998638320,4156160213.745587,1.29,2025-11-03
37,Cronos,CRO-USD,cro,0.136232,4918183575,36094233105.41105,0.965407,2025-11-03
38,Dai,DAI-USD,dai,0.999972,4552105908,4553698749.196293,1.22,2025-11-03
39,Bittensor,TAO-USD,tao,471.06,4534781338,9597491.0,757.6,2025-11-03
40,Polkadot,DOT-USD,dot,2.76,4210265716,1522267060.0,54.98,2025-11-03
41,Mantle,MNT-USD,mnt,1.29,4202045282,3252944055.73684,2.86,2025-11-03
42,MemeCore,M-USD,m,2.37,4016057758,1697639914.199489,2.96,2025-11-03
43,sUSDS,SUSDS-USD,susds,1.074,3725196390,3469545836.860453,1.11,2025-11-03
44,World Liberty Financial,WLFI-USD,wlfi,0.123258,3359397358,27252910376.986828,0.331336,2025-11-03
45,Aave,AAVE-USD,aave,213.39,3257945207,15262027.668611819,661.69,2025-11-03
46,Uniswap,UNI-USD,uni,5.41,3246615112,600483073.71,44.92,2025-11-03
47,Bitget Token,BGB-USD,bgb,4.27,2986536735,699992035.9787906,8.45,2025-11-03
48,USD1,USD1-USD,usd1,0.999102,2983319773,2987033320.230564,1.025,2025-11-03
49,OKB,OKB-USD,okb,135.17,2838949337,21000000.0,255.5,2025-11-03
50,BlackRock USD Institutional Digital Liquidity Fund,BUIDL-USD,buidl,1.0,2828736997,2828736996.591253,1.0,2025-11-03
51,PayPal USD,PYUSD-USD,pyusd,0.9998,2813704915,2814044748.304882,1.021,2025-11-03
52,NEAR Protocol,NEAR-USD,near,2.01,2574385873,1279004843.0,20.44,2025-11-03
53,Pepe,PEPE-USD,pepe,6.11e-06,2572766513,420690000000000.0,2.803e-05,2025-11-03
54,Ethena,ENA-USD,ena,0.355255,2543179801,7156250000.0,1.52,2025-11-03
55,Jito Staked SOL,JITOSOL-USD,jitosol,218.21,2485130682,11385539.72899282,339.52,2025-11-03
56,Ethereum Classic,ETC-USD,etc,15.34,2366676468,154176894.5590234,167.09,2025-11-03
57,Wrapped SOL,SOL-USD,sol,176.04,2291491408,13014442.65810405,290.3,2025-11-03
58,Binance-Peg WETH,WETH-USD,weth,3714.35,2246167412,604999.9999588211,4955.78,2025-11-03
59,Aptos,APT-USD,apt,3.11,2235809127,719777903.9359294,19.92,2025-11-03
